id,customer_id,activity_ts,activity,revenue_impact,feature_json
1,252,2022-10-10T01:11:12Z,renewed_contract,0.0,"[{""contract_id"":""4bbc5020-4fa7-4565-a661-871d9164c575""}]"
2,79,2022-12-12T15:46:38Z,renewed_contract,0.0,"[{""contract_id"":""ccf0ad84-8e0d-4dc0-8fad-e6bc87f391da""}]"
3,19,2022-07-26T04:56:44Z,renewed_contract,0.0,"[{""contract_id"":""b22f84f9-5297-44e3-9261-eb80e49109cb""}]"
4,213,2022-05-05T01:23:44Z,renewed_contract,0.0,"[{""contract_id"":""428637c2-80bd-439c-8bce-8729826585ef""}]"
5,214,2022-12-25T01:40:34Z,renewed_contract,0.0,"[{""contract_id"":""48d73363-53ad-4a19-afcc-ecf9bc7d147e""}]"
6,118,2022-05-06T01:32:20Z,renewed_contract,0.0,"[{""contract_id"":""9bca892e-5c29-4105-92ad-4db0410c0910""}]"
7,263,2022-10-01T20:16:42Z,renewed_contract,0.0,"[{""contract_id"":""9ebf0097-e6d8-4276-80f0-e6270555d8cf""}]"
8,1,2022-02-16T04:14:49Z,renewed_contract,0.0,"[{""contract_id"":""b04468b2-c38d-4fd2-81fe-a991887e6059""}]"
9,408,2022-01-12T00:04:46Z,renewed_contract,0.0,"[{""contract_id"":""f4403a52-0725-4768-abf3-e2da662e0cc7""}]"
10,230,2022-08-02T09:17:45Z,renewed_contract,0.0,"[{""contract_id"":""8fd5ef67-ba6a-4022-8d88-515b83297c08""}]"
11,164,2022-06-12T14:33:19Z,renewed_contract,0.0,"[{""contract_id"":""070e2e73-29f9-449d-8314-b98148403a55""}]"
12,368,2022-09-03T01:43:39Z,renewed_contract,0.0,"[{""contract_id"":""fc8a3844-e8fd-4df7-869a-0fb6c9118d99""}]"
13,63,2022-03-05T05:55:51Z,renewed_contract,0.0,"[{""contract_id"":""f7232118-1cc9-4aa2-9b1e-04aaf7e842ce""}]"
14,218,2022-10-24T11:14:52Z,renewed_contract,0.0,"[{""contract_id"":""37fe4265-e7a3-45fd-b9e9-1f94d3680773""}]"
15,462,2022-05-21T12:43:38Z,renewed_contract,0.0,"[{""contract_id"":""579d1870-e42c-468a-bf6a-8535b519d2fb""}]"
16,132,2022-08-15T11:36:36Z,renewed_contract,0.0,"[{""contract_id"":""01b6624d-56bb-4316-a265-e08100507fc9""}]"
17,60,2022-10-29T04:36:21Z,renewed_contract,0.0,"[{""contract_id"":""55162bd5-ba74-4f04-8e7b-b0cd6c6d1493""}]"
18,380,2022-05-10T20:41:58Z,renewed_contract,0.0,"[{""contract_id"":""04762647-deec-4d52-803b-3fcadb17f598""}]"
19,475,2022-09-17T16:25:35Z,renewed_contract,0.0,"[{""contract_id"":""0ee2a155-0ae9-4ab8-8079-5abd62abe56f""}]"
20,383,2022-12-01T22:43:32Z,renewed_contract,0.0,"[{""contract_id"":""2c3bc7e8-2a3f-49be-90f7-b1b9c04e5e56""}]"
21,137,2022-07-17T06:53:31Z,renewed_contract,0.0,"[{""contract_id"":""d0767451-bced-4029-9310-0965cf602fbf""}]"
22,267,2022-02-11T16:38:12Z,renewed_contract,0.0,"[{""contract_id"":""f00b6fd8-322f-4311-89a9-8f3d97b9dd73""}]"
23,379,2022-05-06T01:09:31Z,renewed_contract,0.0,"[{""contract_id"":""6af9817c-99c8-4384-8c73-c203d1fb331c""}]"
24,439,2022-09-15T21:26:39Z,renewed_contract,0.0,"[{""contract_id"":""9e3eb30d-dd19-49d4-8174-afb513795f0d""}]"
25,44,2022-12-15T15:58:39Z,renewed_contract,0.0,"[{""contract_id"":""ccd7a83e-abc3-4b03-bbdd-7451273e0ef6""}]"
26,426,2022-03-29T20:17:35Z,renewed_contract,0.0,"[{""contract_id"":""f349b9cd-6c67-42cd-a3da-46b9def14990""}]"
27,20,2022-08-23T09:01:55Z,renewed_contract,0.0,"[{""contract_id"":""596827db-0a33-4cd7-8ea2-a6a889ffb9df""}]"
28,30,2022-10-14T04:55:50Z,renewed_contract,0.0,"[{""contract_id"":""c6ce579c-9be5-47ea-b515-212be131fcb7""}]"
29,464,2022-02-05T15:03:50Z,renewed_contract,0.0,"[{""contract_id"":""517a2198-5002-4dab-9307-345982acc438""}]"
30,419,2022-08-03T13:26:07Z,renewed_contract,0.0,"[{""contract_id"":""e3e4327a-cfb3-4e07-acef-f11ccb48111a""}]"
31,86,2022-09-06T13:03:25Z,renewed_contract,0.0,"[{""contract_id"":""3376a471-e154-4040-9c6e-953bd68480b3""}]"
32,226,2022-08-14T01:00:28Z,renewed_contract,0.0,"[{""contract_id"":""c38ae3cc-0503-4249-9403-482c769b0888""}]"
33,466,2022-05-16T11:28:35Z,renewed_contract,0.0,"[{""contract_id"":""4ab98588-eeb5-40f3-a283-2620de15b6c1""}]"
34,330,2022-03-04T18:08:04Z,renewed_contract,0.0,"[{""contract_id"":""b7ca153c-bf1c-4d91-8308-0010462f25ac""}]"
35,6,2022-10-26T11:05:43Z,renewed_contract,0.0,"[{""contract_id"":""79ea8d9d-f743-4978-9ba1-256ede0f0104""}]"
36,285,2022-04-01T06:14:00Z,renewed_contract,0.0,"[{""contract_id"":""7ed49c1b-66dd-4ad6-bbc6-f4a410fc296e""}]"
37,131,2022-06-25T02:23:04Z,renewed_contract,0.0,"[{""contract_id"":""4d9429dd-c403-4e06-9550-e38f0e0964d2""}]"
38,290,2022-07-30T23:39:44Z,renewed_contract,0.0,"[{""contract_id"":""4354c8b3-d588-4a2f-b123-2400b2aa6dee""}]"
39,17,2022-05-15T22:12:30Z,renewed_contract,0.0,"[{""contract_id"":""507612f6-9774-42c5-a5b5-a8bc669dcc44""}]"
40,289,2022-09-02T02:08:36Z,renewed_contract,0.0,"[{""contract_id"":""01ff0dd1-104c-4684-9abe-b76330054fc4""}]"
41,496,2022-12-09T14:43:06Z,renewed_contract,0.0,"[{""contract_id"":""d68ece20-6b86-440d-8541-b080ac128b7e""}]"
42,81,2022-09-16T19:55:41Z,renewed_contract,0.0,"[{""contract_id"":""634ea7cd-8d19-4942-811c-39d7e6785f58""}]"
43,434,2022-08-21T05:07:48Z,renewed_contract,0.0,"[{""contract_id"":""170fd645-1634-46a8-8d1b-4882c4b4ece7""}]"
44,37,2022-10-19T18:21:51Z,renewed_contract,0.0,"[{""contract_id"":""f081c227-c878-4e30-b8a1-3198b11064b2""}]"
45,359,2022-03-03T00:16:44Z,renewed_contract,0.0,"[{""contract_id"":""da4e2c57-4915-4b26-a279-c7ac7e0d3271""}]"
46,239,2022-07-23T05:00:25Z,renewed_contract,0.0,"[{""contract_id"":""87003796-d6d4-49e9-84c2-865a0caa645c""}]"
47,51,2022-08-16T02:14:21Z,renewed_contract,0.0,"[{""contract_id"":""4c8e1768-5e41-477a-a249-61cc645e9c9f""}]"
48,274,2022-08-24T04:36:38Z,renewed_contract,0.0,"[{""contract_id"":""a7fd5642-aa9c-4270-8228-7127ae262e14""}]"
49,133,2022-11-16T17:15:06Z,renewed_contract,0.0,"[{""contract_id"":""925f9801-6f5c-4317-8c8d-9b4f3304ad2e""}]"
50,358,2022-05-28T17:03:48Z,renewed_contract,0.0,"[{""contract_id"":""c8e234c3-b2b9-4de4-9927-c45dd6f34719""}]"
